Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Boost (PSI),Calculated Load (g/rev),Coolant Temp (° F),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (PSI),Ignition Timing (°),Intake Temp (° F),Intake Temp Manifold (° F),MAF Corr. (g/s),MAF Volt. (V),Oil Temp (° F),RPM (RPM),TD Boost Error (PSI),TGV Map Ratio (mult),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.2.0-11341][2016 USDM WRX (MT)][Reflash: 16 WRX Stage1 daniel w 93 rev1.ptm - Realtime: 16 WRX Stage1 daniel w 93 rev1.ptm]
0,4.69,3.12,14.66,27.1,-0.11,1.02,196,1,0,0,1619.1,14.5,63,86,36.15,2.4,200,2103,3.74,1,25,20.39,0
0.002,5.47,3.12,14.65,27.1,0.04,1.03,196,1,0,0,1612.9,14.5,63,86,36.49,2.42,200,2098,3.56,1,25,20.39,0
0.005,5.47,3.12,14.7,27.1,0.01,1.05,196,1,0,0,1637.1,14.5,63,84,36.79,2.42,200,2096,3.51,1,25,20.39,0
0.008,5.47,3.12,14.7,27.5,0.12,1.05,196,1,0,0,1635,14,63,84,37.09,2.42,200,2099,3.57,1,26,20.39,0
0.01,5.47,3.12,14.7,27.5,0.12,1.05,196,1,0,0,1669.7,14,63,84,37.32,2.42,200,2108,3.6,1,26,20.39,0
0.011,5.47,3.12,14.69,27.8,0.15,1.06,196,1,0,0,1641.6,14,63,84,37.63,2.42,200,2113,3.6,1,26,20.39,0
0.034,5.47,3.12,14.7,27.8,0.21,1.06,196,1,0,0,1648.2,13.5,63,84,38.02,2.44,200,2131,3.7,1,26,21.18,0
0.108,5.47,3.12,14.72,28.6,0.31,1.09,196,1,0,0,1624.3,13,63,84,39.17,2.44,200,2145,3.97,1,27,21.57,0
0.112,6.25,3.12,14.67,30.2,0.42,1.1,196,1,0,0,1622.1,12,63,84,39.71,2.48,200,2150,4.37,1,28,25.49,0
0.114,6.25,3.12,14.64,32.2,0.51,1.11,196,1,0,0,1651.4,12,63,84,40.18,2.48,200,2150,4.92,1,28,25.49,0
0.125,6.25,3.12,14.62,33.3,0.53,1.12,196,1,0,0,1682,12,63,84,40.51,2.48,200,2147,5.34,1,28,25.49,0
0.164,6.25,3.12,14.57,35.7,0.81,1.14,196,1,0,0,1710.4,12,63,84,41.32,2.54,200,2147,5.34,1,31,31.76,0
0.166,6.25,3.12,14.52,36.5,0.93,1.15,196,1,0,0,1730.4,12,63,84,41.83,2.54,200,2147,5.59,1,31,31.76,0
0.2,6.25,3.12,14.46,42.4,1.31,1.2,196,1,0,0,1742.3,11,63,82,43.73,2.58,200,2160,6.21,1,35,37.25,0
0.212,6.25,3.12,14.42,47.1,1.74,1.22,196,1,0,0,1712.7,11,63,82,44.42,2.58,200,2177,6.9,1,35,37.25,0
0.245,5.47,3.12,14.46,53.7,1.78,1.27,196,1,0,0,1789.5,10.5,63,82,46.3,2.62,200,2189,7.37,1,52,42.35,0
0.274,5.47,3.12,14.38,62,2.3,1.29,196,1,0,0,1787.4,9,63,82,47.7,2.68,200,2199,8.23,1,100,50.98,0
0.278,5.47,3.12,14.33,70.2,2.46,1.31,196,1,0,0,1788.2,9,63,82,48.36,2.68,200,2204,9.3,1,100,50.98,0
0.3,6.25,3.12,14.38,78,2.87,1.34,196,1,0,0,1752.6,8.5,63,82,49.75,2.64,200,2208,10.57,1,100,61.18,0
0.311,6.25,3.12,14.33,86.3,2.78,1.36,196,1,0,0,1824.9,8.5,63,82,50.19,2.64,200,2209,11.18,1,100,61.18,0
0.334,6.25,3.12,14.32,90.6,2.73,1.37,196,1,0,0,1866.5,8.5,63,82,49.94,2.64,200,2210,11.24,1,100,61.18,0
0.352,6.25,3.12,14.29,98.8,2.97,1.38,196,1,0,0,1786.9,8,63,82,51.71,2.68,200,2211,11.01,1,100,66.27,0
0.364,6.25,3.12,14.22,100,2.97,1.38,196,1,0,0,1820.9,8,63,82,51.46,2.68,200,2214,11.01,1,100,66.27,0
